id,title,publicationDate,place,description,siteUrl,favoritesCount,commentsCount,rating
51116,"Новый трейлер «Мегалополиса» Фрэнсиса Форда Копполы вызвал скандал",1724320012,"null","<p>Дистрибьютор удалил ролик.</p>","https://kudago.com/all/news/novyij-trejler-megalopolisa/",0,0,0.5
51112,"Третьей части «Джокера» не планируется",1724254235,"null","<p>Об этом рассказал автор проекта.</p>","https://kudago.com/all/news/tretej-chasti-dzhokera-ne/",0,0,0.5
51111,"В Петергофе расшифровали старинные ноты из кабинета Петра I",1724253994,"null","<p>Полученную композицию исполнил в петергофском<em> </em>дворце оркестр из Петербурга.</p>","https://kudago.com/spb/news/v-petergofe-rasshifrovali/",0,0,0.5
51103,"Составлены рейтинги школ по конкурентоспособности и проценту поступивших в лучшие вузы страны",1724248936,"null","<p>Лидируют столичные учебные заведения.</p>","https://kudago.com/all/news/sostavlenyi-rejtingi-shkol-po/",0,0,0.5
51109,"Netflix снимет документальный сериал про Викторию Бекхэм",1724248868,"null","<p>В нём покажут путь звезды от певицы до успешного дизайнера.</p>","https://kudago.com/all/news/netflix-snimet-dokumentalnyij/",0,0,0.5
51108,"Владельцы карты «Серебряный возраст» смогут посещать петербургские музеи  за 1 рубль",1724248443,"null","<p>Акция стартует осенью.</p>","https://kudago.com/spb/news/vladeltsyi-kartyi-serebryanyij/",0,0,0.5
51105,"Россияне выбрали самые романтичные города страны",1724248376,"null","<p>Лидер рейтинга  — Санкт-Петербург.</p>","https://kudago.com/all/news/rossiyane-vyibrali-samyie-21-08-2024/",0,0,0.5
51043,"Trendy Box выпускает в Санкт-Петербурге корейский набор в честь Куксу-Феста",1724243673,"null","<p>Подарок познакомит с азиатскими бьюти-трендами и традиционной кухней.</p>","https://kudago.com/spb/news/trendy-box-vyipuskaet-v-sankt-/",0,0,0.5
51104,"Бен Аффлек и Дженнифер Лопес разводятся",1724242224,"null","<p>Их брак продлился два года.</p>","https://kudago.com/all/news/ben-afflek-i-dzhennifer-lopes-21-08-2024/",0,0,0.5
51102,"Петербуржцы выбрали самые престижные профессии",1724242120,"null","<p>Возглавили рейтинг IT-специалисты.</p>","https://kudago.com/spb/news/peterburzhtsyi-vyibrali-samyie/",0,0,0.5
51099,"HBO выпустил трейлер документального фильма о съёмках «Клана Сопрано»",1724231977,"null","<p>Премьера в начале сентября.</p>","https://kudago.com/all/news/hbo-vyipustil-trejler/",0,0,0.5
51096,"Народный полицейский: рецензия на фильм «Криминальный город: Возмездие»",1724184043,"null","<p>Корейская франшиза про полицейского Ма Сок-то продолжает радовать фанатов. Но, вероятно, разочарует простых любителей боевиков. К четвёртой части неплохая криминальная комедия начинает сдавать обороты. Впрочем, намерения Ма Дон-сока, который является и исполнителем главной роли, и продюсером франшизы, дают надежду на перспективное продолжение киносерии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>","https://kudago.com/all/news/retsenziya-na-film-kriminalnyij-gorod-vozmezdie/",0,0,0.5
51095,"Вышел тизер-трейлер новой экранизации «Преступления и наказания»",1724166245,"null","<p>Показ начнётся осенью.</p>","https://kudago.com/all/news/vyishel-tizer-trejler-novoj/",0,0,0.5
51092,"Вышел тизер нового фильма Педро Альмодовара",1724164504,"null","<p>В картине снялись Джулианна Мур и Тильда Суинтон.</p>","https://kudago.com/all/news/vyishel-tizer-novogo-filma-pedro/",0,0,0.5
51090,"В России появится новый завод по выпуску виниловых пластинок",1724164204,"null","<p>Его откроют в Новосибирске.</p>","https://kudago.com/all/news/v-rossii-poyavitsya-novyij-zavod-po/",0,0,0.5
51094,"Скончалась старейшая женщина планеты Мария Браньяс Морера",1724163977,"null","<p>Ей было 117 лет.</p>","https://kudago.com/all/news/skonchalas-starejshaya-zhenschina/",0,0,0.5
51069,"Как менялся российский кинематограф: 30 лет истории кино",1724156694,"null","<p>Современное российское кино начало формироваться сразу же после распада СССР, несмотря на экономический кризис, грядущий дефолт и неспокойную обстановку в стране. Груз советского наследия, где было множество великих фильмов, безусловно, формировал постсоветский ландшафт. Всё это было важной основой для разнообразия в кино. Мы проследили историю развития современного российского кинематографа за последние 30 лет. А чтобы выбрать отечественные проекты, которые точно придутся по душе, проходите <a href="https://kudago.com/all/quiz/test-ko-dnyu-rossijskogo-kino/" target="_blank" title="Какое российское кино вам подходит ">наш тест</a>. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>","https://kudago.com/all/news/kak-menyalsya-rossijskij/",0,0,0.5
51089,"Вышел новый тизер аниме про Лару Крофт",1724151216,"null","<p>Премьера в октябре.</p>","https://kudago.com/all/news/vyishel-novyij-tizer-anime-pro-laru/",0,0,0.5
51086,"Под Петербургом в объектив попала трогательная встреча лосихи и её сына",1724147719,"null","<p>Видео опубликовано в соцсетях.</p>","https://kudago.com/spb/news/pod-peterburgom-v-obektiv/",0,0,0.5
51085,"В школьную программу могут включить курс логики",1724143938,"null","<p>Предложение направлено в Министерство просвещения России.</p>","https://kudago.com/all/news/v-shkolnuyu-programmu-mogut/",0,0,0.5
51082,"Начинающие фолк-музыканты могут присоединиться к мультикультурному фестивалю в Санкт-Петербурге",1724139959,"null","<p>Приём заявок открыт. </p>","https://kudago.com/all/news/nachinayuschie-folk-muzyikantyi-mogut/",0,0,0.5
51080,"Открытие первых станций Красносельско-Калининской линии отложили",1724080556,"null","<p>Теперь их обещают запустить до конца следующего года.</p>","https://kudago.com/spb/news/otkryitie-pervyih-stantsij/",0,0,0.5
51079,"В Петербурге протестировали робота для уборки улиц",1724079818,"null","<p>В прошлом году его начали использовать в Москве.</p>","https://kudago.com/spb/news/v-peterburge-protestirovali/",0,0,0.5
51078,"Amazon поделился первым кадром из австралийской адаптации «Офиса»",1724078876,"null","<p>Роль босса впервые сыграет женщина.</p>","https://kudago.com/all/news/amazon-podelilsya-pervyim-kadrom/",0,0,0.5
51076,"Появился трейлер французской версии «Холопа»",1724078787,"null","<p>В России картину покажут в сентябре.</p>","https://kudago.com/all/news/poyavilsya-trejler-frantsuzskoj/",0,0,0.5
